"","titulo","texto"
"14","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Juárez no se rindió, ayudó mucho el que en la primera batalla de Puebla triunfaran los soldados mexicanos al mando del general Ignacio Zaragoza. Ayudó porque esto permitió organizar la resistencia."
"15","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Después de la Batalla de Puebla, transcurrió un año para que pudieran los franceses tomar la Ciudad de México, y esto permitió que el presidente Juárez iniciara su peregrinar hacia el norte para mantener el alto la bandera de la república y de la independencia."
"16","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Todavía no llegaba Maximiliano y ya estaba escribiéndole a Juárez para convencerlo de que se llegara a un acuerdo, le ofrecía cargos. Juárez siempre tuvo la misma respuesta: ‘No voy a aceptar nunca a un extranjero gobernando en mi patria’."
"17","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Y así se condujo, ese fue su recto proceder. Padeció de traiciones, gente allegada a él no resistió y se entregaron a los invasores, se sometieron al conservadurismo y a los intervencionistas; y otros que se quedaron con él también titubearon, trataron de convencerlo de que no había nada qué hacer porque estaban allá en Chihuahua, en lo que entonces se llamaba Paso del Norte y ahora es Ciudad Juárez, resistiendo estoicamente."
"18","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Mientras, al interior del país oaxaqueños y mexicanos actuaban en la defensa de la patria, había guerrillas que siempre estaban haciendo resistencia en distintos puntos de la República."
"19","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Por esa perseverancia de Juárez se logró la restauración de nuestra república y la segunda independencia de México. Si él no hubiese resistido, si no hubiese mantenido esa fe inquebrantable en la causa que defendía, no se hubiese logrado la expulsión de los extranjeros y el restablecimiento de nuestra república, se hubiese consolidado la monarquía y se hubiese sometido a nuestra patria."
"20","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Por eso hoy aquí, en Guelatao, recuerdo con respeto, con admiración, al presidente Juárez. Y vengo a nutrirme de su fortaleza espiritual, vengo a recordar sus enseñanzas para enfrentar adversidades."
"21","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Lo que él demostró es algo único, extraordinario, no hay comparación, porque sufrió mucho él y su familia, y siempre puso por delante el interés del pueblo, el interés de nuestra patria. Por eso lo recordamos siempre."
"22","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Hablaba yo también del presidente Madero, del presidente Cárdenas. Se sabe poco, pero el presidente Madero era un fiel seguidor de Benito Juárez, el presidente Madero era simpatizante de la doctrina espírita y en sus apuntes dejó escrito que recibía mensajes de Benito Juárez, en sus apuntes aparece el mensaje y la B y la J, siempre respetó a Benito Juárez."
"23","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Lo mismo el general Lázaro Cárdenas, juarista. Jiquilpan, donde nació el presidente Lázaro Cárdenas, es Jiquilpan de Juárez, y cuando han querido cambiarle al nombre, primero el general y luego el ingeniero Cárdenas se han opuesto cuando querido ponerle Jiquilpan de Cárdenas, han dicho no, Jiquilpan de Juárez."
"24","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Por eso, celebro estar aquí con ustedes. Me da mucho gusto venir a cargar energías a Guelatao, a venir a Guelatao a fortalecer mi espíritu, mis convicciones para seguir el ejemplo del presidente Juárez. No olvidar nunca el porqué de nuestra función como servidores públicos, cómo estamos obligados siempre a servir al pueblo y a defender a nuestra patria."
"25","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Quiero terminar dando una respuesta al presidente municipal de Guelatao acerca de su propuesta de que Guelatao tenga un fondo manejado por las autoridades para el desarrollo y el bienestar del pueblo de Guelatao. Vamos a cumplir con esa petición, vamos a entregar directo los fondos al gobierno de Guelatao para mejoras del municipio."
"26","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Lo hago porque ya iniciamos esta forma de gobierno aquí en Oaxaca, son las autoridades municipales de usos y costumbres las que están construyendo los caminos y lo están haciendo muy bien."
"27","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Y también aquí en Oaxaca iniciamos un programa que ya se extendió a todo el país, que consiste en entregar a las sociedades de padres de familias y madres de familias los recursos, que cada escuela tenga su presupuesto y que llegue el dinero directo, desde la Tesorería de la Federación hasta la sociedad de madres y padres de familia. Todas las escuelas de México van a tener así su presupuesto de mantenimiento de acuerdo al número de alumnos."
"28","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Lo repito, si es una escuela pequeña, de cinco a 50 alumnos, 150 mil pesos por ciclo escolar; si la escuela tiene de 50 a 150 alumnos, 200 mil pesos; si son más de 150 alumnos, 500 mil pesos que se van a entregar a cada sociedad de madres, de padres de familia año con año."
"29","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Y ahora vamos a entregar, y aquí empezamos, en Guelatao, el presupuesto de manera directa al gobierno de Guelatao, de usos y costumbres."
"30","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","¿Por qué hacemos esto?"
"31","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Por muchas razones, no sólo es un acto de justicia o algo que se haga porque esta tierra vio nacer al mejor presidente de México, no sólo por tratarse de Guelatao, sino porque en Oaxaca y en Guelatao hay una organización comunitaria ejemplar."
"32","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Aquí y nos están viendo y nos escuchan en otras partes, aquí hay democracia comunitaria, es la asamblea la que elige a las autoridades, no se andan promoviendo como candidatos los que se convierten en servidores públicos; al contrario, aquí el que anda de zalamero queriendo hacer campaña, no sale, no lo eligen. Aquí es la asamblea la que decide quién debe de gobernar."
"33","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Y todos los miembros de la comunidad están dispuestos a dar servicio, no se cobra, esto es único, no sólo en México, en el mundo, el tequio, la ayuda mutua, el que las autoridades verdaderamente actúen como servidores públicos, como siervos de la comunidad, como siervos de la nación, como lo mencionaba Morelos."
"34","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Y este sistema de gobierno tan especial, tan extraordinario, único, repito, en el mundo, tiene una característica, algo además importante, un añadido fundamental: las autoridades son honestas, quienes gobiernan en estos pueblos son incapaces de robarse el dinero del presupuesto, que es dinero del pueblo. Ya esto no se ve en otras partes. Ahora vamos a empezar con la renovación a que esto adquiera valor y se extienda, que cunda el ejemplo en todo México."
"35","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Pero uno de los problemas del país, quizá el más grave de los problemas de México ha sido la corrupción, el mal comportamiento de las autoridades. Siempre he dicho que nada ha dañado más a México que la deshonestidad de sus autoridades, eso es lo que ha dado al traste con todo, esa es la causa principal de la desigualdad social, de la desigualdad económica, de la pobreza, de la inseguridad, de la violencia, la corrupción."
"36","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Entonces, imagínense, ¿cómo no tomar la decisión de entregar a autoridades honestas los recursos para que ellos con la gente, con la asamblea, decidan qué hacer en beneficio del pueblo?"
"37","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Por eso vamos a cumplir con esta petición, se van a entregar los fondos a Guelatao."
"38","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Ya sé, me van a pedir lo mismo en otros municipios. Les pido nada más que nos esperen, que veamos cómo resulta el ensayo en Guelatao. "
"39","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Como va a resultar bien, me da tiempo, va a hacer… bueno, me va a dar tiempo para organizar bien la entrega de fondos a otros gobiernos municipales. Es un premio a la honestidad de los gobiernos de Oaxaca, los gobiernos municipales de usos y costumbres, para que se fortalezcan las culturas de los pueblos, se fortalezcan las culturas de los pueblos, porque eso es lo más grandioso que tiene Oaxaca y que tiene México, sus culturas."
"40","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Oaxaca es uno de los pueblos, siempre lo digo, con más cultura en el mundo. Por eso, me da mucho gusto estar aquí en Guelatao, en la tierra del mejor presidente de México, estar en Oaxaca, un pueblo con mucha historia, con mucha cultura."
"41","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Me da mucho gusto estar este día 21 de marzo del 2020 conmemorando el natalicio de Benito Juárez. Y reitero el compromiso, todos los años 21 de marzo voy a estar aquí, siempre voy a venir aquí a nutrirme, a fortalecerme, a llenarme de principios, de ideales para seguir luchando por la Cuarta Transformación de la vida pública de México."
"42","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","¡Que viva Guelatao!"
"43","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","¡Que viva Oaxaca!"
"44","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","¡Que viva el presidente Benito Juárez García!"
"45","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","¡Viva México!"
"46","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","¡Viva México!"
"47","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","¡Viva México!"
"48","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR: Eso es para que entre todos hagamos las cosas, gobierno del pueblo, para el pueblo y con el pueblo."
"49","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","No podría un solo hombre, un equipo, se necesita de todo un pueblo para lograr la transformación del país, por eso ahora se decidió que va a llegar el presupuesto a cada escuela para su mantenimiento."
"50","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","El programa se llama La Escuela es Nuestra, les va a llegar de acuerdo al número de alumnos, si hay de cinco a 50 alumnos, 150 mil pesos por ciclo escolar; de 50 a 150 alumnos, 200 mil pesos; de 150 alumnos hacia adelante, 500 mil pesos."
"51","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Se hace la asamblea de madres, de padres de familia, se forma el comité y desde la Tesorería de la Federación llega el cheque y la asamblea decide qué van a hacer con ese dinero, si van a construir un aula, si van a construir la barda, si van a mejorar los baños, si van a pintar la escuela, lo que haga falta lo va a decidir la asamblea de padres, de madres de familia."
"52","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Lo único que estamos recomendando es que se procure que el tesorero sea mujer, porque las mujeres son más honradas que los hombres. Y al que no le guste que se vaya a volar en el avión presidencial."
"53","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Por cierto, les comento que se va a rifar el avión presidencial, y ya los que tienen más posibilidades económicas, porque reuní con ellos, los empresarios que quieren ayudar están comprando boletos, cachitos de lotería, son seis millones de números de cachitos, se van a repartir dos mil millones de pesos, son 100 premios de 20 millones cada premio al que se lo saque."
"54","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Y muchos empresarios están comprando bastantes y me dicen: ‘Yo voy a devolver todo, lo que compre yo lo entrego al gobierno para que el gobierno se lo entregue a las comunidades más pobres y que repartan los boletos para ver si tienen suerte y los pobres se sacan la rifa, el premio’."
"55","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Quiero aprovechar para decirles que aquí en Ayutla vamos a entregar en todas las casas los boletos para a ver si tienen la suerte y en las escuelas no se va a entregar un boleto, un cachito, sino varios, en cada escuela para que si le queda a la escuela sea los 20 millones para mejorar completamente la escuela a la que se beneficie."
"56","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Quiero también decirles que vamos a apoyar en todo al gobierno de Ayutla, los vamos a apoyar, quiero hacer el compromiso aquí con ustedes."
"57","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","En otras partes se baja el presupuesto a través de las dependencias federales, de los gobiernos estatales, ahora, en el caso de Ayutla en especial, vamos a bajar los fondos de manera directa, les vamos a entregar los apoyos al gobierno municipal."
"58","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Todo el programa, como se hace en Oaxaca para construir las carreteras de concreto para que se le dé trabajo a la gente y se hagan bien las obras, las va a manejar el gobierno municipal, todo el presupuesto."
"59","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Y les vamos a ayudar a quitarles las deudas, esas que les dejaron, vamos a limpiar de deuda del gobierno municipal con el compromiso de que lo que vayan recibiendo del presupuesto nacional se maneje con honradez, porque ya no queremos corrupción. Fuchi la corrupción, al carajo la corrupción."
"60","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Se va a acabar la corrupción, me canso ganso."
"61","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Les decía que ya no voy a poder seguir hablando, porque tenemos que llegar a tiempo a Acapulco, pero no me despido, porque nos vamos a seguir encontrando, voy a seguir visitando Ayutla y toda esta región de Guerrero."
"62","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","¿Me faltó algo?"
"63","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","Nada más decirles que no les voy a fallar, nos llevó muchos años, mucho esfuerzo, mucho sacrificio, esta ayuda, esta lucha. Y no voy yo, nunca, jamás, a traicionar al pueblo, nunca voy a traicionar al pueblo de México."
"64","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","¡Que viva Ayutla de los Libres!"
"65","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","¡Que viva Guerrero!"
"66","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","¡Viva México!"
"67","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","¡Viva México!"
"68","Versión estenográfica. Diálogo con pueblos indígenas, en Ayutla de los Libres, Guerrero","¡Viva México!"
"69","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR: Amigas, amigos de Marquelia, de comunidades, de ejidos, de pueblos, de municipios de esta región de la Costa Chica de Guerrero."
"70","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Me da mucho gusto estar de nuevo en Marquelia, visitar esta región de Guerrero que la he visitado muchas veces desde hace más de 20 años, porque nos llevó tiempo esta lucha, pero al final se triunfó."
"71","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Nos caímos varias veces y nos levantamos y seguimos caminando, nos hicieron fraudes, decían mis adversarios en la última elección del 2012, decían que ya me retirara, que ya estaba enfermo, que ya estaba chocheando y dijimos: no."
"72","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Imagínense si nos retirábamos iban a hacer fiesta, todavía estarían gozando si nos hubiésemos retirado, dijimos: No, vamos a seguir adelante, vamos a perseverar hasta lograr el triunfo para transformar a México."
"73","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Y la gente confió, apoyó y respaldó, y sería un acto de vileza, de traición, no estar a la altura de las circunstancias."
"74","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Por eso vengo a Marquelia a decirles que no les voy a fallar, vamos a transformar a México, ya empezó la transformación, pero falta todavía, porque, como lo mencionaba la compañera, el gobierno era como un toro viejo, echado, reumático, mañoso, corrupto, que estamos poniendo de pie para que camine, y que el gobierno cumpla con su principal responsabilidad: Atender las demandas del pueblo."
"75","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","El gobierno que se tenía anteriormente era un gobierno al servicio de una minoría rapaz, era un comité al servicio de unos cuantos, que son los que ahora están muy enojados, todos los que se dedicaban a saquear, a robar, todos los que vivían al amparo del poder, mientras el pueblo padecía de olvido, de pobreza, de marginación."
"76","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Ya se van a ir acostumbrando los conservadores de que esto ya cambió, ya está prohibido robar, están mal vistos los corruptos, fuchi. Se va a acabar la corrupción, se va a acabar la impunidad. Me canso ganso."
"77","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Y por eso tengo mucha fe de que vamos a sacar a nuestro querido México, no nos van a hacer nada los infortunios, las pandemias, nada de eso."
"78","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Vamos a sacar adelante a nuestro país, porque cuando no hay corrupción el presupuesto rinde, alcanza."
"79","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Cuando hay corrupción no alcanza para nada el presupuesto porque se queda en unas cuantas manos, y para poder hacer algo todavía, después de que se roban el dinero, aumentan los impuestos o endeudan al país."
"80","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Ahora no es así, no hay aumento de impuestos, no hay impuestos nuevos, no estamos endeudando al país y no hay gasolinazos; al contrario, ahora está bajando la gasolina, está bajando el precio de las gasolinas."
"81","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","La clave está en no permitir la corrupción y que no haya lujos en el gobierno, porque el presupuesto, además de que se iba a unas cuantas manos, se destinaba, se dedicaba a mantener privilegios de los altos funcionarios públicos."
"82","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","¿Cuánto se gastaba nada más en pagar la atención médica privada a los altos funcionarios públicos?"
"83","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Seis mil millones de pesos al año, se hacían hasta cirugía plástica, se estiraban a costillas del erario. Eso se terminó."
"84","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","¿Saben cuántos cuidaban al presidente?"
"85","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Seis, no, ocho mil elementos del Estado Mayor Presidencial, ocho mil elementos del Estado Mayor Presidencial, ya todos esos elementos pasaron a la Secretaría de la Defensa Nacional, a la Guardia Nacional para cuidar al pueblo, al presidente lo cuida la gente."
"86","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Imagínense cuánto nos ahorramos. Muchísimo, pero aquí no hay, miren, y no es nada más un asunto de seguridad, es de tener un gobierno austero."
"87","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Ya no hay aviones, helicópteros privados, imagínense si vengo a Marquelia en helicóptero ¿cuándo me voy a dar cuenta de cómo están los caminos?"
"88","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Nunca."
"89","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Preparan aquí nada más para que aterrice el helicóptero, y ya vengo aquí, hablo, y de nuevo el helicóptero a Acapulco y de ahí en el avión presidencial. Ya no hay ni avión presidencial, se va a rifar el avión presidencial."
"90","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Y aprovecho para decirles que los que no tienen para comprar su número, su cachito, les va a tocar también porque los que tienen más, los empresarios que tienen dimensión social, que los invité a que nos ayuden en la rifa, que compren boletos, están comprando bastante."
"91","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Y me están diciendo: ‘Yo quiero que el gobierno entregue esos boletos a la gente más pobre’, y vamos a entregar esos boletos para que, con suerte, se saquen el premio."
"92","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","No el avión, sino van a ser 100 premios de 20 millones cada uno, son dos mil millones de pesos en premios para el día 15 de septiembre."
"93","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","En todas las escuelas van a tener número de boletos, todas las escuelas."
"94","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Ya conocen ustedes el programa que se llama: La Escuela es Nuestra, se va a ampliar, todas las escuelas van a tener su presupuesto para mantenimiento. Y ya se están formando los comités y va a llegar el presupuesto."
"95","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Si es una escuela pequeña de cinco a 50 alumnos, 150 mil pesos por año, por ciclo escolar; si es de 50 a 150 alumnos, 200 mil pesos; si es de más de 150 alumnos, 500 mil pesos a la sociedad de padres, de madres de familia."
"96","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Lo único que estamos pidiendo es que cuando elijan al comité de madres, de padres de familia, se procure que el tesorero sea mujer, porque las mujeres son más honradas que los hombres, y al que no le guste que se vaya a volar en el avión presidencial."
"97","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Les va a llegar ese apoyo a todas las escuelas de Guerrero, ya empezamos con 26 mil escuelas en el país, pero son 170 mil escuelas."
"98","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Ya no va a pasar el dinero por las dependencias, como también todos los programas de bienestar se van a entregar de manera directa a los beneficiarios, nada de intermediarios."
"99","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","El adulto mayor recibe su apoyo, su tarjeta. La persona con discapacidad niñas, niños, un familiar, su mamá, su papá, el que lo cuida, su tarjeta. Los jóvenes que reciben la beca, su tarjeta. Los campesinos para la producción, su tarjeta."
"100","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Vamos a que llegue directo, porque si llega a través de intermediarios no llega completo o llega con moche, con piquete de ojo. Ya no queremos eso, va a ser directo."
"101","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Por eso, se va a resolver que en todos los pueblos grandes haya Banco de Bienestar, ya empezamos con los ingenieros militares a construir dos mil 700 sucursales del Banco del Bienestar para que donde viven ustedes haya un banco y ahí puedan recibir sus apoyos."
"102","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Ese es un plan que se tiene para entregar de manera directa los apoyos para el Bienestar."
"103","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","El gobernador Héctor Astudillo hizo mención a una reforma constitucional muy importante que ya se aprobó en la Cámara de Diputados, va a pasar a la Cámara de Senadores y luego a las legislaturas estatales."
"104","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","Consiste esta reforma al artículo 4º constitucional de que ya son derechos constitucionales el que reciban los adultos mayores una pensión, ya está establecido en la Constitución el derecho a la pensión de todos los adultos mayores."
"105","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","En el caso de comunidades indígenas y de comunidades afromexicanas el apoyo al adulto mayor es a partir de los 65 años, es decir, para el resto de los adultos mayores a partir de los 68, pero para comunidades indígenas y comunidades afromexicanas a partir de los 65."
"106","Versión estenográfica. Diálogo con pueblos indígenas, en Marquelia, Guerrero","¿Por qué así?"
