"","fecha","titulo","texto"
"11","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Sin embargo, también podemos notar cómo en la carga de enfermedad acumulada la región de las Américas también mantiene una tendencia ascendente y día con día -que es el color rojo oscuro que está abajo- también empieza a haber un incremento; de hecho, el día de hoy ya superó el 40 por ciento de la carga de enfermedad en las últimas 24 horas."
"12","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Entonces, tenemos una pandemia en evolución, que a su vez son epidemias en los países en donde se están presentando."
"13","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En la siguiente diapositiva podemos ver la actualización de nuestra carga de enfermedad en México. El día de hoy se confirmaron 178 nuevos casos de COVID-19, elevando entonces la estadística a mil 688 casos confirmados; igualmente también se eleva la cantidad de casos negativos, que son ocho mil 602; se tuvo también lamentablemente el deceso de 10 personas, teniendo ahora la cantidad de defunciones en 60, 15 mil 688 son las personas que hasta el momento han sido estudiadas y que precisamente están distribuidas en los diferentes cuadros o números de salida."
"14","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","El mapa de la república mexicana, si vamos haciendo memoria de los últimos días, prácticamente se mantiene similar en relación a la carga de enfermedad por estado; sin embargo, en la siguiente diapositiva podemos ver un poco mejor cómo se marcan estas diferencias de lo que es la carga de enfermedad como tal, resaltando lógicamente la Ciudad de México, pero recordando también que precisamente tengamos una mayor carga poblacional, es decir, concentración de personas, es donde vamos también a estar esperando que tengamos más número de casos."
"15","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Pero si vemos contrastada, ya lo decíamos, esta carga poblacional -que sería la siguiente diapositiva- es decir, si sacamos una tasa de incidencia por cada 100 mil habitantes, pues entonces tenemos una distribución que nos permite ahora sí hacer una comparación de en su momento esta carga o cómo se está presentando la epidemia en los diferentes estados de la república y, si bien es cierto, Ciudad de México continuaría en un momento con esta mayor carga, ya la diferencia por tasa de incidencia acumulada varía en los diferentes estados, como ustedes lo pueden ver."
"16","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En la siguiente diapositiva veremos la distribución por edad. También, como pueden ver, se ha mantenido prácticamente en una tendencia similar en donde la mayor cantidad de casos son nuestros adultos jóvenes, también hay una afectación importante en los mayores de 65 años y se mantiene un predominio del 58 por ciento en hombres."
"17","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En la siguiente diapositiva vemos esta misma distribución por grupo de edad, pero reflejada en relación a la proporción de personas que han tenido que ser hospitalizadas, es decir, que desarrollaron una enfermedad ya no leve, sino que en su momento presentó algún signo de alarma, por lo tanto, tuvo que ser ingresada a un segundo nivel de atención."
"18","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Vemos cómo el color amarillo, que es el que representa a las personas que tuvieron esta condición, es decir, que tuvieron que ser hospitalizadas, día con día va incrementándose en función también del incremento de la edad en años de la persona, teniendo inclusive incremento importante o bastante mucho más evidente en aquellos que son mayores de 65 años."
"19","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Aquí vemos ahora el análisis de las 60 lamentables defunciones que han ocurrido. A comparación de la distribución por grupo de edad que veíamos en los casos confirmados, aquí sí, las defunciones es más evidente aun de que se concentran en grupos de edad más avanzados. Podemos ver la mayor carga o barras de estos grupos poblacionales precisamente en las edades arriba de 60."
"20","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","La distribución sigue siendo similar, si recordamos las presentaciones anteriores, en donde hay un predominio de un 86 por ciento en hombres."
"21","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En la siguiente diapositiva podemos notar la distribución por estado de cómo han estado ocurriendo estas defunciones, igual recordemos que sí hay una mayor carga de enfermedades, es decir, número de casos en un estado; entonces, las proporciones que ya conocemos que se dan de casos graves y en su momento de pacientes críticos también se incrementa en estas localidades, por eso no sería de llamar la atención que en los estados con mayores concentraciones poblacionales y con mayor cantidad de casos confirmados es también donde podemos observar una carga importante de defunciones."
"22","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En la siguiente diapositiva podemos ver nuevamente la distribución de cómo se ha comportado la comorbilidad o la presencia de estos factores de riesgo y es importante utilizar esta información precisamente para durante esta Jornada Nacional de Sana Distancia hacer un llamado a la población."
"23","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Si usted es una persona mayor de 60 años de edad, si usted es una persona con diabetes, con hipertensión, con obesidad, con algún problema pulmonar o cardiaco, se les invita a quedarse en casa. Quedarse en casa significa generar una protección en estos momentos en donde la epidemia está iniciando su incremento en relación a la carga de enfermedad y por lo tanto el riesgo de que usted, si no se queda en casa, se pueda contagiar en un ambiente comunitario. Por eso es importante atender las medidas de esta Jornada Nacional de Sana Distancia que al menos se han emitido hasta el 30 de este mes."
"24","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Esta es una diapositiva nueva que queríamos también mostrarle, es precisamente el porcentaje de positividad."
"25","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","¿Qué es el porcentaje de positividad?"
"26","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","De todas las personas que en un momento son clasificadas como casos sospechosos, es decir, una persona que presentó a lo mejor tos con fiebre o a lo mejor presentó tos y dolor de cabeza o presentó fiebre y dolor de cabeza, presentó algunos de estos tres signos o síntomas, al menos dos de ellos y además cualquier otro signo o síntoma característico de una infección respiratoria aguda, se clasifica como caso sospechoso."
"27","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Sin embargo, sabemos que en este momento no solamente está circulando COVID-19, de hecho estamos todavía a cuatro semanas de que termine la temporada de influenza y además sabemos que en el periodo invernal todavía siguen circulando otros tipos de virus respiratorios."
"28","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Entonces, el porcentaje de positividad es importante porque nos ayuda a evidenciar de todos estos casos que son clasificados sospechosos, es decir, de todas las personas que en un momento están cursando con una infección respiratoria aguda, cuántos realmente tienen COVID-19 o fueron positivas en este caso a COVID-19."
"29","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Aquí podemos ver la gráfica. La columna total representa aquellas personas que fueron clasificadas como casos sospechosos, las que están en color rojo representan las que fueron positivas a COVID-19 y las que están en color oscuro representan todas aquellas que salieron negativas a COVID-19, es decir, sí presentaban una infección respiratoria aguda, pero no era COVID-19."
"30","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Esto es importante porque en la medida que vamos dando seguimiento y vamos entrando a un escenario dos ya más importante y sobre todo a un escenario tres, empezamos o creemos nosotros que tenemos que empezar a ver un incremento de este porcentaje de positividad, es decir, se espera que cada vez más cantidad de personas que tienen una infección respiratoria aguda sean COVID."
"31","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En este momento ese porcentaje se ha mantenido alrededor del 20 por ciento."
"32","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","¿Qué quiere decir?"
"33","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Que de cada 10 personas que tienen una infección respiratoria aguda como tal, dos están siendo por COVID-19. Este porcentaje es importante porque, independientemente de que sean mil personas enfermas o sean 20 personas enfermas o 500 personas enfermas, saber qué proporción de ellas realmente tienen COVID y poder dar ese seguimiento en el tiempo, nos puede ayudar a identificar en qué momento la enfermedad empieza a circular más; es decir, esperamos ver que en un momento, en vez de que sean dos de 10, ahora van a ser tres de 10 o cinco de 10 o seis de 10, lo que en su momento nos estaría hablando de que el virus se empieza a dispersar y que cada vez más personas que tienen una infección respiratoria aguda la están teniendo porque tienen COVID-19"
"34","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Es importante en este gráfico también mencionar, para que no se lleve una interpretación inadecuada, que recordemos que estamos ante una enfermedad que tiene un periodo de incubación que fluctúa entre los cinco o los seis días; por lo tanto, si nosotros nos vamos al último día que está en la gráfica, tenemos que al menos descontarle esos cinco días, estamos hablando del 2, el 1, el 31, el 30, el 29, porque esta disminución de personas que vemos al final no es una imagen real, la imagen real realmente está ahí por el día 26, donde todavía vemos como hay una tendencia ascendente, pero que de todas maneras en la parte superior se estabiliza, eso vamos a ir viendo cómo va cambiando."
"35","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Lo que quiero decir es que la disminución de los últimos cinco o seis días no es porque haya una disminución de casos, es porque durante esos cinco o seis días hay personas que todavía están incubando la enfermedad y que en su momento empezarán a expresar sintomatología y empezarán a aparecer en esta gráfica, pero lo importante de la gráfica es precisamente ese porcentaje de positividad que estaremos puntualmente dándole seguimiento para ver cómo empieza a incrementar o no la transmisión de COVID."
"36","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En la siguiente diapositiva tenemos el mismo porcentaje de positividad, pero ahora por estado, es decir, cada entidad federativa también ha detectado, ha clasificado casos sospechosos, les ha tomado la prueba y ha confirmado casos."
"37","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Y aquí podemos ver cómo más allá de que haya unos estados que han confirmado más casos, es decir, tienen una cantidad de personas en color rojo mayor que otros estados, cuando vemos el porcentaje de positividad, prácticamente este porcentaje se ha mantenido también entre un 20 y un 30 por ciento; es decir, que más allá que, por ejemplo, Ciudad de México tenga la mayor cantidad de casos confirmados, su porcentaje de positividad está en el 30 por ciento, es decir, que de cada 10 personas que han sido muestreadas y estudiadas por una infección respiratoria aguda, tres de ellas en este momento o hasta este momento solamente han sido COVID-19, de ahí la importancia de poder estar dando seguimiento a este indicador."
"38","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En la siguiente diapositiva vemos nuestra curva de casos acumulados, un poco para tener también el comparativo con otros países a los que hemos estado dando seguimiento y ver cómo se está comportando esta curva posterior o en seguimiento a cuando inició de manera oficial la jornada de sana distancia a nivel nacional y al reforzamiento que en su momento vino una semana después y que es esta precisamente la que estamos por cerrar el día de mañana."
"39","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Y en la siguiente veremos también nuestra misma curva de casos acumulados, pero también de casos incidentes para en su momento ver cuál es la tendencia de esa confirmación de casos de la que estábamos hablando. Decíamos que el día de hoy se habían confirmado 178 nuevos casos, ahí están expresados, pero de alguna manera es una tendencia similar a la que hemos observado en la última semana."
"40","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Esta tendencia también es importante darle seguimiento, porque en la medida que vayamos avanzando en el escenario dos y posteriormente en el escenario tres esperamos ver también un incremento de cómo día con día se van confirmando más y más casos."
"41","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Ese sería el panorama al día de hoy."
"42","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","HUGO LÓPEZ-GATELL RAMÍREZ: Gracias, doctor Alomía."
"43","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Le damos la palabra a la maestra Mónica Maccise."
"44","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","MÓNICA MACCISE DUAYHE, PRESIDENTA DEL CONSEJO NACIONAL PARA PREVENIR LA DISCRIMINACIÓN (CONAPRED): Muchas gracias. Muy buenas tardes a todos y a todas."
"45","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Quiero agradecer al doctor Hugo López-Gatell por la invitación y por el espacio este día de hoy para poder hablar sobre la prevención de la discriminación en este contexto de COVID-19."
"46","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En primera instancia quiero volver a citar al doctor López-Gatell cuando hace unos días nos decía que era muy importante y que México tenía una oportunidad histórica y una oportunidad única en la medida en que nos quedáramos en casa todos y todas, podíamos frenar, digamos, el riesgo de contagio de más personas y que eso era el momento esencial."
"47","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Entonces, también nosotros desde Conapred queremos hacer un llamado a la ciudadanía y también decirles que es una oportunidad histórica ahorita, así como quedarse en casa, para poder tener el paso de una contingencia de este tipo y de una situación como la que está viviendo nuestro país que sea de forma empática, que sea de forma solidaria, que sea de forma recíproca y cuidadosa."
"48","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Este es el mensaje que desde Conapred queremos mandar a la ciudadanía."
"49","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","¿Y por qué lo digo?"
"50","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Porque hemos tenido algunos eventos y quejas concretas en Conapred que están vinculadas con hechos de rechazo, de violencia y de discriminación. Voy a hablar particularmente de cuatro de ellos:"
"51","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Las primeras tienen que ver con personas que han sido diagnosticadas con COVID y que han sido limitadas en sus derechos. Por ejemplo, en términos de la negación del acceso al trabajo, digamos amenazas que las y los van a despedir, también incluso negación al acceso a los derechos a la salud, digamos de que: ‘No, en este hospital no se te va a atender’, ese es el tipo de información que nosotros tenemos en nuestras quejas."
"52","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","También como ustedes han visto, personas que en sus propias casas, en sus propios espacios de condominios y de residencias la propia administración les ha restringido que entren personas a entregarles los víveres o que otras personas los visiten y digamos como bastantes restricciones, por ejemplo, algunos servicios de atención pública como refugios también."
"53","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Entonces ahí tenemos un foco muy rojo de personas que están infectadas y que está viendo restringidos sus derechos."
"54","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En segundo lugar tenemos, como lo hemos visto a través de los medios de comunicación, acciones concretas de violencia y rechazo hacia el personal médico y hacia el personal de enfermería. Esto nos parece una situación muy delicada porque, como sabemos, el personal médico y de enfermería está haciendo un esfuerzo enorme, un esfuerzo grande para poder trabajar en cualquier condición en esta contingencia y pensamos que merecen, al contrario, todo nuestro reconocimiento y toda nuestra reciprocidad."
"55","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En tercer lugar, tenemos quejas concretas por parte de grupos de la diversidad sexual que se han visto afectados en sus derechos, porque algunos líderes religiosos han interpretado que el origen del COVID está en la homosexualidad, también han hecho referencia que tiene que ver con el feminismo o que tiene que ver con la decisión de las mujeres sobre su propio cuerpo."
"56","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Y esto es complejo porque, digamos, un llamado así a su feligresía en vez de informar adecuadamente, como lo hacen aquí los compañeros médicos todas las noches y todas las mañanas, lo que hace es que motiva, digamos, discriminación y rechazo hacia esas poblaciones. Entonces es muy importante dar información veraz y oportuna, no basada en estereotipos ni en prejuicios."
"57","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Y por último tenemos también algunas muestras de racismo y xenofobia contra personas extranjeras y contra personas que tienen rasgos físicos que podríamos llamar de Asia Oriental o de forma muy estigmatizante, chinos, chinas, que tenemos información, lo hemos documentado en nuestras redes sociales, que se han visto absolutamente rechazados en sus derechos y que, digamos, tienen miedo incluso de salir a las calles porque las personas estereotípicamente pensamos que son objeto de contagio."
"58","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Estas personas son mexicanas, viven en México, han nacido en México y probablemente en la mayoría de los casos nunca han estado en China como para ser objeto de contagio, lo que nos muestra que la en realidad la información que tienen o que tenemos y reproducimos está basada en prejuicios."
"59","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","¿Qué llamado a la acción hace Conapred?"
"60","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En primer lugar, es que demos información accesible, es un llamado a la ciudadanía en general, a los medios de comunicación, al sector público, a cada una de las instituciones que en la administración pública a nivel federal y estatal brinde información, también a nivel de los estados, al sector privado, a las organizaciones de la sociedad civil, a brindar información veraz, oportuna y clara basada en la ciencia."
"61","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En segundo lugar, es muy importante que esta información sea accesible de manera universal, es decir, que contemple a las personas con diversas discapacidades, discapacidad auditiva, discapacidad visual, discapacidad intelectual."
"62","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","¿Por qué?"
"63","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Porque la información que nos están brindando todos los días con respecto a esta contingencia es vital, digamos, es de vida y entonces resulta muy importante que todas las personas la podamos comprender de forma sencilla y clara y de acuerdo, digamos, a nuestras propias capacidades."
"64","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Por otro lado, es muy importante también que esta información tenga pertinencia cultural, es decir, pueda ser accesible a los pueblos y a las comunidades indígenas en sus propias formas y en lenguas indígenas."
"65","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Muchas instituciones del Estado mexicano hemos estado haciendo esfuerzos, el Instituto Nacional de Pueblos Indígenas, el Instituto Nacional de Lenguas Indígenas, para poder hacer las traducciones a las lenguas indígenas y que se pueda difundir vía el perifoneo y algunas otras en las comunidades y también con el tema de la discapacidad."
"66","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Nos falta, tanto a la administración pública federal como a los medios privados también, para poder hacer accesible, mucho más accesible esta información para todas las personas, como decía. Y como lo decía el doctor Hugo López-Gatell, estamos a tiempo, es momento de hacerlo ahora y por eso les pido que recurran a Conapred, Conapred tiene la especialización y además tiene una red enorme de organizaciones de la sociedad civil que pueden ayudar y que pueden proporcionar y brindar este tipo de servicios."
"67","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","En segundo lugar, el llamado a la acción tiene que ver con reconocer las diferencias que existen en México y en nuestra población. Creo que eso no es nuevo para nadie la desigualdad, digamos, como nos toma una contingencia de este tipo en un país de por sí absolutamente desigual; entonces no es lo mismo, digamos, unas personas que otras para decirlo muy sencillo."
"68","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","De acuerdo con datos en México, solamente cuatro de cada 10 personas… más bien, seis de cada 10 personas tienen seguros, prestaciones y tienen también un contrato formal, es decir, cuatro de cada 10 personas no tienen un sueldo fijo y no tienen prestaciones médicas, lo cual les hace mucho más difícil cumplir la instrucción de quedarse en casa."
"69","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Por eso muy importante y también desde Conapred hemos estado hablando con las instituciones como la Secretaría de Economía y otras que las medidas de mitigación para estas poblaciones que están mayor desventaja social sean enfocadas a sus necesidades muy particulares."
"70","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Mención especial tienen desde la agenda de Conapred, por supuesto, las trabajadoras del hogar que como ustedes saben son un grupo tradicionalmente en desventaja y discriminado."
"71","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Y el llamado muy concreto que hemos hecho desde Conapred a las y los empleadores es que se cubra el sueldo total de las empleadoras de las trabajadoras del hogar en esta etapa de contingencia; es decir, si las trabajadoras por alguna condición de salud ya no están trabajando en las casas o por las mismas recomendaciones que ha hecho la Secretaría de Salud de ya no transportarse en medios masivos de transporte, que es mayoritariamente lo que usan las trabajadoras del hogar, entonces que se queden en sus casas, que se cuiden, cuiden a sus familias; por el otro lado, la empleadoras y los empleadores puedan erogar de forma puntual su salario íntegro."
"72","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Sabemos también que hay otras poblaciones en mucha desventaja que requieren apoyos muy concretos, estoy hablando de las personas que trabajan en los restaurantes, las y los meseros, las trabajadoras sexuales, las personas también que trabajan alrededor de las escuelas y como las escuelas ya no están teniendo, digamos, están ahorita cerradas, entonces todo ese círculo económico que está alrededor requiere ciertos apoyos."
"73","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","También, como en este punto de reconocer las diferencias es muy importante también reconocer los esfuerzos que se están haciendo desde las instancias, digamos, que son espacios públicos cerrados que tienen que ver, por ejemplo, con población migrante o población en cárceles."
"74","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","La Secretaría de Salud también tiene los lineamientos, estamos reconociendo lo que han hecho las instituciones para poder mitigar el riesgo de contagio en esos espacios: en el caso de las personas migrantes, las estaciones migratorias; en el caso de las personas que están recluidas en las cárceles de forma justa o injusta, también que se puedan aplicar estas medidas con los mejores estándares, informando a las personas sobre la condición, porque si nosotros acá afuera en algunos casos se muestran algunas personas desesperadas, imagínense las personas que están adentro."
"75","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Entonces, reforzar los esfuerzos para informar, informar en el caso de las estaciones migratorias en el lenguaje de las personas que están ahí puntualmente y por supuesto en pleno respeto a los derechos humanos."
"76","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Y, bueno, finalmente, lo que ya decíamos desde el principio, cómo logramos que cada una de las personas, a pesar del miedo y la incertidumbre, podamos ser empáticas con las otras personas y podamos ser creativos en términos de la solidaridad."
"77","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","México es un país que tradicionalmente ha podido salir adelante, de forma unida, lo ha dicho muchas veces el presidente, con solidaridad y creemos que ese es el camino el día de hoy."
"78","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","¿Qué ofrece Conapred concretamente y qué estamos haciendo para atender este tipo de casos?"
"79","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Conapred tiene un sistema de quejas, que es un sistema de quejas efectivo, basta con que una persona llame a este teléfono: 55 5262 1490; si está en una entidad federativa que no es la Ciudad de México es 800 543 0033 o escriba un correo electrónico a quejas@conapred.org.mx si considera que algunos de sus derechos se han visto vulnerado por cualquier condición de la que he hablado: condición de salud, profesión, orientación sexual, condición de embarazo, por cualquier, digamos, esas categorías que son prohibidas de discriminar en la Constitución, en el artículo 1º y que son amplias y grandes."
